Date,T,Tpot,Tdew,Rh,Sh
2020-01-01 00:10:00,0,71,273,18,-1,33,86,1,6,43
2020-01-01 00:20:00,0,75,273,22,-1,44,85,2,6,45
2020-01-01 00:30:00,0,73,273,21,-1,48,85,1,6,44
2020-01-01 00:40:00,0,37,272,86,-1,64,86,3,6,27
2020-01-01 00:50:00,0,33,272,82,-1,5,87,4,6,26
2020-01-01 01:00:00,0,34,272,84,-1,54,87,1,6,26
2020-01-01 01:10:00,0,19,272,69,-1,65,87,4,6,19
2020-01-01 01:20:00,0,03,272,53,-1,7,88,1,6,12
2020-01-01 01:30:00,0,11,272,63,-1,61,88,1,6,16
2020-01-01 01:40:00,0,22,272,73,-1,62,87,4,6,2
2020-01-01 01:50:00,-0,04,272,48,-1,85,87,5,6,09
2020-01-01 02:00:00,-0,21,272,3,-1,78,89,1,6,01
2020-01-01 02:10:00,-0,1,272,42,-1,74,88,6,6,06
2020-01-01 02:20:00,-0,16,272,35,-1,88,88,1,6,04
2020-01-01 02:30:00,-0,22,272,3,-1,82,88,9,6,01
2020-01-01 02:40:00,-0,06,272,45,-1,77,88,2,6,08
2020-01-01 02:50:00,-0,17,272,34,-1,81,88,6,6,03
2020-01-01 03:00:00,-0,05,272,45,-1,71,88,5,6,09
2020-01-01 03:10:00,-0,21,272,31,-1,84,88,7,6,01
2020-01-01 03:20:00,-0,77,271,77,-2,31,89,2,5,78
2020-01-01 03:30:00,-0,93,271,61,-2,26,90,6,5,71
2020-01-01 03:40:00,-0,86,271,68,-2,17,90,8,5,73
2020-01-01 03:50:00,-0,87,271,66,-2,16,90,9,5,73
2020-01-01 04:00:00,-1,02,271,52,-2,31,90,9,5,67
2020-01-01 04:10:00,-1,15,271,41,-2,37,91,4,5,61
2020-01-01 04:20:00,-1,08,271,47,-2,25,91,7,5,64
2020-01-01 04:30:00,-1,59,270,96,-2,93,90,5,5,43
2020-01-01 04:40:00,-1,82,270,72,-2,92,92,1,5,34
2020-01-01 04:50:00,-1,84,270,71,-2,9,92,4,5,33
2020-01-01 05:00:00,-1,84,270,73,-2,78,93,2,5,34
2020-01-01 05:10:00,-2,14,270,44,-3,21,92,3,5,22
2020-01-01 05:20:00,-2,34,270,21,-3,26,93,4,5,14
2020-01-01 05:30:00,-2,2,270,35,-3,05,93,8,5,2
2020-01-01 05:40:00,-2,3,270,25,-3,18,93,7,5,15
